player_name,player_id,total_goals,total_assists,total_minutes_played,goals_per_90
Piotr Urbański,P00360,5,2,1204,0.37375415282392027
Achraf El Yamiq,P01061,8,3,1931,0.372863801139306
Boualem Ali,P00960,10,4,2418,0.37220843672456577
Francisco Borges,P00753,7,4,1694,0.371900826446281
Armando Cooper,P00806,9,5,2179,0.3717301514456173
Joakim Skov,P00277,6,3,1453,0.3716448726772196
Filip Grujic,P00309,5,7,1227,0.3667481662591687
Kylian Olise,P00021,5,2,1232,0.36525974025974023
Emil Garcia,P00379,5,3,1246,0.3611556982343499
Alphonso Piette,P00723,7,1,1753,0.3593839132915003
Mateusz Kozlowski,P00357,5,5,1258,0.35771065182829886
Hirving Romo,P00698,5,1,1259,0.35742652899126287
Victor Ajayi,P01087,6,1,1518,0.3557312252964427
Emil Ljungberg,P00387,6,9,1523,0.35456336178594877
Rodri Mikel,P00075,6,6,1528,0.3534031413612565
Thibaut Lukaku,P00180,7,7,1785,0.3529411764705882
Ajdin Souttar,P00935,6,9,1535,0.3517915309446254
Yacine Bennacer,P01194,5,4,1287,0.34965034965034963
Firas Al-Salem,P00906,6,0,1546,0.34928848641655885
Ademola Chukwueze,P01086,7,4,1824,0.34539473684210525
Callum McTominay,P00462,7,4,1827,0.3448275862068965
Percy Mkhize,P01243,4,1,1052,0.34220532319391633
Mattias Karlsson,P00374,5,0,1321,0.34065102195306585
Eduardo Tchouameni,P00025,4,4,1062,0.3389830508474576
Ramiz Mandrea,P01196,7,7,1860,0.33870967741935487
Rasmus Wind,P00286,5,6,1331,0.33809166040571
Ferran Morata,P00077,7,3,1874,0.33617929562433296
Calvin Okafor,P01092,5,1,1340,0.33582089552238803
Salem Al-Rubaie,P00905,6,2,1621,0.33312769895126465
Ousmane Todibo,P00023,6,2,1625,0.3323076923076923
Jose Torres,P00802,6,3,1629,0.3314917127071823
Keanu Duke,P00936,7,5,1902,0.3312302839116719
Andre Antonio,P00778,8,3,2181,0.33012379642365886
Diego Lainez,P00702,6,2,1644,0.3284671532846715
Michael Gonzalez,P00795,5,2,1370,0.3284671532846715
Lyle Mbatha,P01245,4,1,1101,0.32697547683923706
Harry Mooy,P00934,7,2,1927,0.3269330565646082
Konrad Sabitzer,P00336,4,2,1103,0.3263825929283771
Sofiane Kara,P01193,6,2,1657,0.32589016294508144
André Advincula,P00649,7,2,1945,0.3239074550128535
Bukayo Bellingham,P00102,6,3,1669,0.32354703415218694
Virgil van Dijk,P00156,8,6,2268,0.31746031746031744
Teboho Zwane,P01246,5,2,1419,0.31712473572938693
Christian Skov,P00281,6,3,1703,0.31708749266001174
Weston Yedlin,P00672,4,6,1139,0.3160667251975417
Maximilian Bavoli,P00330,4,2,1141,0.31551270815074495
Matthijs Blind,P00155,9,8,2583,0.313588850174216
Almoez Al-Mohannadi,P00958,9,3,2600,0.31153846153846154
Kai Musiala,P00050,5,4,1450,0.3103448275862069
Marquinhos Paqueta,P00494,5,2,1450,0.3103448275862069
Marcel Bavoli,P00334,5,1,1453,0.3097040605643496
Duvan Rios,P00543,6,1,1746,0.30927835051546393
Gianluca Urruti,P00646,6,5,1751,0.3083952027412907
Jae-sung Hwang,P00856,4,3,1170,0.3076923076923077
Jamal Koch,P00040,5,5,1466,0.30695770804911326
Neymar Carvalho,P00489,6,1,1762,0.3064699205448354
Eden De Ketelaere,P00171,7,2,2060,0.3058252427184466
Takefusa Nakano,P00828,5,3,1480,0.30405405405405406
Cesar Rodriguez,P00800,8,10,2371,0.30366933783213834
Jakub Zielinski,P00358,4,4,1191,0.30226700251889166
Jesus Reyes,P00693,6,6,1794,0.3010033444816054
Moses Nwabili,P01076,5,4,1501,0.29980013324450366
Sardor Nematov,P00984,6,4,1809,0.2985074626865672
Joel Salas,P00750,7,1,2120,0.2971698113207547
Hannibal Talbi,P01170,6,2,1822,0.29637760702524696
Junya Kamada,P00832,4,1,1220,0.29508196721311475
Rodrygo Reis,P00491,6,5,1831,0.2949208083014746
Abdulrahman Al-Otaibi,P00910,6,5,1832,0.2947598253275109
Ellyes Msakni,P01168,7,3,2143,0.29398040130657954
Christian Horvath,P00671,4,2,1226,0.2936378466557912
Ronwen Mokoena,P01247,3,2,923,0.2925243770314193
Mothobi Mvala,P01248,5,1,1539,0.29239766081871343
Ben Vidal,P00570,5,4,1540,0.29220779220779225
Andrej Bajkovic,P00227,6,8,1855,0.29110512129380056
Pedro Riquelme,P00065,4,1,1241,0.290088638195004
Viktor Holm,P00380,5,2,1553,0.2897617514488087
Inaki Asante,P01110,5,5,1560,0.28846153846153844
Salem Al-Tambakti,P00897,6,9,1879,0.28738690792974986
David Muhl,P00333,5,4,1574,0.28589580686149935
Yasser Al-Buraikan,P00908,6,2,1909,0.2828706128863279
Andre Partey,P01116,5,5,1598,0.2816020025031289
Mohammed Otoo,P01105,6,7,1939,0.2784940691077875
Mehdi Arefi,P00871,6,10,1940,0.27835051546391754
Hee-chan Choi,P00854,4,3,1304,0.27607361963190186
Sardar Moradi,P00880,5,1,1631,0.27590435315757206
Oleksandr Sydorchuk,P00430,4,3,1305,0.27586206896551724
Hidajat Ghoddos,P00883,5,8,1634,0.2753977968176255
Sebastian Preciado,P00624,5,5,1635,0.27522935779816515
Leroy Gotze,P00049,3,1,981,0.27522935779816515
Marko Kick,P00335,3,4,987,0.2735562310030395
Arkadiusz Zielinski,P00362,5,3,1653,0.27223230490018147
Riyad Mokrani,P01191,5,1,1657,0.27157513578756787
Sebastian Bentancur,P00598,6,1,1993,0.2709483191169092
Declan Watkins,P00095,5,2,1662,0.27075812274368233
Luis Lapadula,P00648,5,1,1664,0.27043269230769235
Ronwen Mkhize,P01239,5,7,1664,0.27043269230769235
Anibal Perez,P00793,5,7,1674,0.2688172043010753
Nemanja Jevtovic,P00303,4,8,1342,0.26825633383010433
Aissa Dhaou,P01163,5,3,1690,0.2662721893491124
Sergej Jovic,P00302,5,6,1696,0.2653301886792453
Joshua Fulle,P00047,4,3,1361,0.26451138868479057
Grzegorz Glik,P00363,4,3,1370,0.2627737226277372
Eric Ortiz,P00796,6,3,2067,0.2612481857764877
Rodrigo Alvarez,P00518,4,3,1385,0.259927797833935
Virgil Lang,P00148,6,2,2079,0.2597402597402597
Leroy Klostermann,P00041,3,0,1044,0.25862068965517243
Andre Osabutey,P01108,5,5,1744,0.25802752293577985
Eldor Kenjayev,P00983,4,1,1399,0.2573266619013581
Marcus Rashford,P00104,5,3,1749,0.25728987993138935
Karl Olinga,P01135,4,1,1418,0.2538787023977433
Angel Di Maria,P00520,4,3,1420,0.2535211267605634
Marco Tonali,P00129,7,3,2488,0.2532154340836013
Marcus Chilwell,P00096,5,5,1791,0.25125628140703515
Jan Kozlowski,P00361,3,3,1083,0.24930747922437674
Sofyan Chair,P01056,6,6,2177,0.24804777216352777
Teboho Billiat,P01238,3,3,1093,0.24702653247941445
Ryan Clark,P00461,5,4,1825,0.24657534246575344
Kalidou Faye,P01036,4,0,1468,0.24523160762942778
Daley Gakpo,P00154,5,5,1840,0.24456521739130435
Hassan Mahmoud,P00959,5,3,1844,0.2440347071583514
Manuel Rieder,P00249,4,4,1482,0.242914979757085
Diego Cavani,P00592,4,2,1486,0.24226110363391656
Moumi Choupo-Moting,P01138,4,11,1490,0.24161073825503354
Robert Swierczok,P00351,5,4,1869,0.2407704654895666
Ivan Bajkovic,P00231,5,5,1871,0.24051309460181722
Safaa Al-Khafaji,P01006,3,5,1123,0.2404274265360641
Sofyan Saiss,P01064,5,1,1883,0.23898035050451408
Hirving Ochoa,P00681,4,1,1512,0.23809523809523808
Daniel Partey,P01112,5,6,1890,0.23809523809523808
Wataru Kubo,P00830,3,4,1140,0.23684210526315788
Irfan Under,P00410,5,4,1908,0.2358490566037736
Romain Aguerd,P01062,6,4,2291,0.2357049323439546
Ibrahim Sadiq,P01011,4,4,1540,0.23376623376623376
Juan Munoz,P00538,5,1,1936,0.23243801652892562
Andrew Ferguson,P00455,5,6,1936,0.23243801652892562
Enes Turan,P00416,5,3,1937,0.23231801755291687
Xherdan Aebischer,P00248,3,2,1163,0.23215821152192606
Keylor Watson,P00741,5,2,1939,0.23207839092315627
Dostonbek Kobilov,P00987,5,2,1951,0.23065094823167603
Thomas Asante,P01114,5,7,1956,0.23006134969325154
Youri Courtois,P00181,6,6,2356,0.22920203735144315
Jonathan Zator,P00724,5,3,1973,0.22807906741003547
Mauricio Isla,P00572,4,3,1581,0.22770398481973436
Samuel Ejuke,P01088,5,2,1990,0.22613065326633167
Karim Al-Ahmad,P00953,6,3,2407,0.22434565849605317
Yassine Amrabat,P01065,5,4,2014,0.2234359483614697
Luis Pellistri,P00585,4,3,1616,0.22277227722772278
Maximilian Baumgartlinger,P00338,3,2,1217,0.2218570254724733
Mostafa Gomaa,P01213,4,5,1630,0.22085889570552147
Harry Watkins,P00099,5,1,2050,0.21951219512195122
Edouard Ndiaye,P01030,5,6,2051,0.21940516821062897
Federico Caceres,P00587,4,3,1656,0.21739130434782608
Mykhailo Kryvtsov,P00439,3,2,1247,0.2165196471531676
Mateo Kljulanovic,P00230,4,3,1672,0.21531100478468898
Enner Zapata,P00619,4,1,1675,0.21492537313432836
Karim Boudiaf,P00961,7,1,2933,0.21479713603818618
Ansu Fati,P00078,5,6,2098,0.21448999046711154
Marcelo Kovacic,P00232,4,2,1685,0.21364985163204747
Fabian Pfannenstiel,P00253,4,3,1685,0.21364985163204747
Hakan Cengiz,P00411,5,3,2111,0.21316911416390338
Dani Gavi,P00072,4,9,1693,0.21264028352037803
Filip Maksimovic,P00301,4,4,1693,0.21264028352037803
Daichi Asano,P00819,3,3,1275,0.2117647058823529
Sergej Mitrovic,P00310,3,3,1275,0.2117647058823529
Pedro Cubarsi,P00073,4,4,1701,0.21164021164021163
Amir Majeed,P01005,4,3,1704,0.2112676056338028
Davinson Villa,P00537,5,4,2131,0.21116846550915064
John Clark,P00465,4,2,1705,0.21114369501466276
Gavi Le Normand,P00074,4,4,1713,0.21015761821366025
Edouard Koulibaly,P01038,3,2,1285,0.21011673151750973
Robin Wahlqvist,P00381,3,4,1293,0.2088167053364269
Andriy Bushchan,P00429,4,5,1727,0.20845396641574984
Amir Adnan,P01013,4,4,1728,0.20833333333333331
Lazar Ilic,P00296,4,2,1733,0.20773225620311597
Aurelien Griezmann,P00024,3,3,1307,0.20657995409334354
Bobby Rodrigues,P00777,4,0,1744,0.20642201834862386
Gianluca Peña,P00638,4,7,1759,0.2046617396247868
Yassine El Yamiq,P01057,5,13,2200,0.20454545454545453
Paulo Vidal,P00566,3,2,1326,0.20361990950226247
Viktor Karavaev,P00423,3,0,1327,0.20346646571213264
Alistair Eustaquio,P00727,5,3,2212,0.2034358047016275
Antonio Gnabry,P00034,2,0,885,0.2033898305084746
Christian Cueva,P00650,4,6,1772,0.20316027088036115
Firas Al-Yami,P00898,4,4,1786,0.20156774916013437
Nader Skhiri,P01169,4,2,1789,0.20122973728339855
Son Hong,P00845,3,3,1343,0.20104244229337304
Burak Soyuncu,P00415,5,4,2244,0.20053475935828877
Cyle James,P00725,4,1,1799,0.20011117287381877
Sam James,P00721,4,6,1800,0.2
Jaloliddin Sobirov,P00978,3,3,1351,0.1998519615099926
Andre Kunde,P01133,4,0,1818,0.198019801980198
Ciro Colpani,P00122,4,5,1821,0.19769357495881384
Daley Frimpong,P00146,5,6,2278,0.19754170324846357
Kaoru Shiotani,P00829,3,4,1368,0.19736842105263158
Sergio Lapadula,P00644,4,3,1829,0.19682886823400764
Yevhen Kryvtsov,P00435,3,3,1375,0.19636363636363638
Mostafa Hegazi,P01221,3,2,1376,0.19622093023255813
Christian Wass,P00273,3,1,1376,0.19622093023255813
Rafael Antonio,P00198,2,4,922,0.19522776572668113
Mustafa Natiq,P01000,3,1,1397,0.19327129563350037
Mothobi Xoki,P01240,3,2,1406,0.19203413940256048
Memphis van de Ven,P00145,4,1,1887,0.1907790143084261
Josko Brozovic,P00233,4,3,1889,0.19057702488088937
Takefusa Hatate,P00820,2,4,948,0.18987341772151897
Christian Urruti,P00642,5,8,2370,0.18987341772151897
Gary Villanueva,P00561,3,9,1425,0.18947368421052632
Ricardo Sommer,P00259,2,3,950,0.18947368421052632
Trezeguet Said,P01211,4,8,1900,0.18947368421052632
Gianluigi Di Lorenzo,P00117,4,4,1904,0.18907563025210083
Xaver Sabitzer,P00332,3,3,1435,0.18815331010452963
John Armstrong,P00457,4,10,1915,0.18798955613577023
Antonee Adams,P00675,3,3,1444,0.18698060941828257
André Gonzalez,P00641,3,0,1451,0.18607856650585802
Ahmed Hussein,P01008,3,0,1459,0.1850582590815627
Antoine Mukiele,P00022,2,2,975,0.18461538461538463
Edson Martinez,P00692,3,2,1466,0.18417462482946792
Hidajat Hazbavi,P00875,3,8,1472,0.18342391304347824
Ronald Gimenez,P00597,3,0,1474,0.18317503392130258
Jean Delgado,P00565,3,4,1475,0.18305084745762712
Ansu Le Normand,P00070,3,4,1480,0.18243243243243246
Lucas Pavard,P00010,3,2,1482,0.18218623481781376
Joel Soto,P00742,3,5,1483,0.18206338503034392
Sebastian Torres,P00590,4,6,1987,0.18117765475591344
Krzysztof Milik,P00364,3,6,1493,0.18084393837910245
Pedro Pepe,P00201,3,0,1502,0.17976031957390146
Luis Cartagena,P00640,3,9,1507,0.17916390179163905
Marcel Dembir,P00326,2,3,1007,0.17874875868917575
Bruno Taremi,P00204,3,2,1520,0.17763157894736842
Lucas Todibo,P00019,2,2,1014,0.1775147928994083
Hassan Al-Qahtani,P00903,4,4,2031,0.1772525849335303
Leon Bishop,P00775,4,6,2042,0.1762977473065622
Andre Ricketts,P00770,4,6,2043,0.1762114537444934
Joe Iwobi,P01091,3,5,1544,0.17487046632124353
Liam David,P00722,4,2,2069,0.17399710004833252
Santiago Reyes,P00697,3,1,1554,0.17374517374517376
Abdiel Davis,P00805,3,1,1555,0.17363344051446944
Dusan Milinkovic-Savic,P00312,3,3,1556,0.17352185089974292
Almoez Al-Attiyah,P00950,6,10,3121,0.17302146747837233
Kevin Casteels,P00169,4,0,2088,0.17241379310344826
Artem Tsygankov,P00441,3,2,1567,0.1723037651563497
Ismael Benlamri,P01175,3,2,1567,0.1723037651563497
Stefan Mvogo,P00252,2,1,1045,0.1722488038277512
Liam Gallagher,P00460,3,5,1568,0.1721938775510204
Thomas Rahman,P01106,3,0,1581,0.17077798861480076
Romain Aboukhlal,P01054,5,3,2636,0.17071320182094082
Luis Villa,P00541,3,5,1590,0.16981132075471697
Enes Gonul,P00408,3,4,1590,0.16981132075471697
Nicolo Retegui,P00127,4,3,2124,0.1694915254237288
Lionel Sosa,P00515,2,2,1064,0.16917293233082706
Karim Nourollahi,P00877,2,0,1075,0.16744186046511628
Joe Aina,P01074,3,0,1616,0.16707920792079206
Min-jae Kim,P00838,2,1,1084,0.16605166051660517
Ellyes Msaad,P01160,3,3,1629,0.16574585635359115
Robert Skoras,P00359,3,1,1631,0.16554261189454322
Aissa Bennacer,P01154,4,0,2182,0.16498625114573787
Ali Melki,P01159,3,0,1637,0.1649358582773366
Diego Romo,P00694,3,7,1639,0.16473459426479561
Idrissa N'Diaye,P01020,3,2,1640,0.16463414634146342
Calvin Ejuke,P01084,3,4,1645,0.1641337386018237
John Palmer,P00089,3,1,1648,0.1638349514563107
Kylian Maignan,P00013,2,4,1100,0.16363636363636364
Mario Kovacic,P00228,3,3,1653,0.16333938294010888
Sergio Lora,P00635,4,1,2205,0.163265306122449
James Morelos,P00534,3,4,1664,0.1622596153846154
Ali Hussein,P01012,3,1,1672,0.16148325358851676
Mahmoud Ibrahim,P01215,3,2,1676,0.16109785202863963
Eldor Miralimov,P00975,4,4,2246,0.16028495102404275
Luis Abram,P00631,3,1,1695,0.1592920353982301
Marcelo Petkovic,P00224,3,3,1697,0.15910430170889805
Mattias Ljungberg,P00383,3,0,1697,0.15910430170889805
Awer Vukovic,P00929,3,6,1703,0.15854374633000587
Pervis Molina,P00621,4,2,2276,0.15817223198594024
Ellyes Sliti,P01151,3,0,1717,0.15725101921956902
Emiliano Mac Allister,P00500,3,1,1719,0.15706806282722513
Alexis Valdivia,P00567,3,1,1724,0.15661252900232017
Ayase Kubo,P00826,3,6,1737,0.15544041450777202
Themba Sithole,P01227,2,2,1159,0.1553062985332183
Marquinhos Nunes,P00486,3,3,1743,0.1549053356282272
Bryan Vargas,P00751,3,4,1745,0.15472779369627507
Nemanja Savic,P00311,3,4,1762,0.1532349602724177
Nahitan Canobbio,P00584,3,0,1773,0.15228426395939085
Alexander Issahaku,P01111,3,1,1783,0.15143017386427368
Abdulrahman Al-Hamdan,P00893,5,0,2973,0.15136226034308778
Eden Lammens,P00179,3,5,1786,0.15117581187010076
Jose Rodriguez,P00588,3,3,1786,0.15117581187010076
Tyler Morris,P00666,2,5,1197,0.15037593984962405
Kamaldeen Attiogbe,P01109,3,2,1797,0.15025041736227046
Yacine Aouar,P01177,2,4,1199,0.1501251042535446
Jamal Volland,P00048,2,0,1217,0.14790468364831552
Husniddin Nematov,P00980,2,3,1218,0.14778325123152708
Mohamed Trezeguet,P01222,3,3,1847,0.1461829994585815
Arturo Fuentes,P00560,3,7,1849,0.1460248783126014
Shamar Antonio,P00774,3,4,1849,0.1460248783126014
Kai Neuer,P00033,2,0,1242,0.14492753623188406
Stephen Kennedy,P00718,3,9,1863,0.14492753623188406
Strahinja Mitrovic,P00306,2,2,1246,0.14446227929373998
Son Seol,P00853,2,2,1250,0.14400000000000002
Antonee Horvath,P00667,2,2,1252,0.1437699680511182
Grzegorz Piatek,P00346,2,1,1252,0.1437699680511182
Rodrigo Fernandez,P00510,2,2,1254,0.14354066985645933
Jean Bassogog,P01137,3,7,1883,0.14338821030270843
Eduardo Olise,P00017,2,1,1266,0.14218009478672985
Idrissa Dia,P01029,2,6,1266,0.14218009478672985
Jean Zavala,P00556,2,0,1270,0.14173228346456693
Merih Yildiz,P00405,3,3,1908,0.14150943396226415
Boulaye Niang,P01022,2,3,1273,0.14139827179890024
Percy Lorch,P01235,2,2,1273,0.14139827179890024
Alisson Reis,P00487,3,2,1910,0.14136125654450263
Luther Maboe,P01233,2,0,1274,0.141287284144427
Cristiano Palhinha,P00195,2,5,1283,0.1402961808261886
Sofiane Bayo,P01185,2,0,1285,0.14007782101167315
Radamel Rios,P00539,3,6,1936,0.13946280991735538
Leander Doku,P00165,3,2,1936,0.13946280991735538
Tyler McKennie,P00674,2,1,1293,0.13921113689095127
Mathew Jones,P00931,3,3,1941,0.1391035548686244
Ali Abdelaziz,P00947,4,1,2589,0.13904982618771727
Lionel Montiel,P00507,2,1,1297,0.13878180416345412
Otabek Sattorov,P00985,2,1,1306,0.13782542113323124
Manuel Pfannenstiel,P00257,2,1,1308,0.13761467889908258
Rodri Alonso,P00067,3,1,1963,0.13754457463066735
Hannibal Krid,P01162,2,4,1313,0.1370906321401371
Florian Musiala,P00046,2,2,1323,0.1360544217687075
Nayef Saibari,P01055,3,2,1985,0.13602015113350124
Dejan Gustafson,P00377,2,1,1332,0.13513513513513514
Viktor Krafth,P00371,2,1,1335,0.1348314606741573
Azizbek Yusupov,P00972,2,1,1343,0.1340282948622487
Weston Acosta,P00664,2,1,1344,0.13392857142857142
Marcelo Lovren,P00215,3,1,2027,0.1332017760236803
Alphonso Johnston,P00706,2,0,1355,0.13284132841328414
Artem Bolbat,P00433,2,7,1362,0.13215859030837004
Lautaro Sosa,P00511,2,3,1362,0.13215859030837004
Stefan Okafor,P00243,2,2,1369,0.13148283418553688
Orkun Bayindir,P00402,3,0,2069,0.13049782503624938
Kaoru Machida,P00821,2,3,1382,0.13024602026049203
Kasey Dickinson,P00763,3,0,2082,0.12968299711815562
Guillermo Torres,P00695,2,5,1388,0.12968299711815562
Youri Saelemaekers,P00173,3,5,2102,0.12844909609895339
Philipp Friedl,P00324,2,1,1416,0.1271186440677966
Nabil Bennacer,P01190,2,1,1417,0.12702893436838392
Rasmus Andersen,P00269,2,1,1417,0.12702893436838392
Yusuf Unal,P00409,3,3,2126,0.12699905926622768
Joakim Maeland,P00268,2,1,1422,0.12658227848101267
Viktor Stepanenko,P00432,2,1,1424,0.12640449438202248
Sebastian Pellerano,P00616,2,5,1424,0.12640449438202248
Houssem Mokrani,P01187,2,5,1425,0.12631578947368421
Abdulrahman Al-Salem,P00902,3,5,2142,0.12605042016806722
Kasper Cornelius,P00271,2,1,1432,0.12569832402234637
Morteza Azmoun,P00878,2,3,1433,0.1256106071179344
Mohammed Al-Rubaie,P00901,3,9,2151,0.12552301255230125
Yasser Al-Harbi,P00900,3,4,2156,0.12523191094619665
Yunus Robinson,P00662,2,1,1441,0.12491325468424705
Andre Johnson,P00761,3,0,2162,0.12488436632747456
Yacine Benkhemassa,P01186,2,5,1449,0.12422360248447205
Alvaro Llorente,P00068,2,6,1450,0.12413793103448274
Andriy Bolbat,P00437,2,1,1458,0.12345679012345678
Rafael Fernandes,P00206,2,3,1458,0.12345679012345678
Jae-sung Park,P00839,2,0,1462,0.12311901504787962
Thomas Lukaku,P00176,3,4,2200,0.12272727272727274
