player_name,total_goals,total_assists,total_shots,total_shots_on_target,total_minutes_played,average_rating
Alexander Lindelof,0,0,0,0,1157,2.5
Alexander Ndicka,1,3,13,1,1291,3.4805555555555556
Alexis Almada,1,0,9,1,1376,3.8117647058823527
Alexis Lasarte,1,2,9,1,1021,2.937837837837838
Alexis Pulgar,1,0,8,1,1718,4.021621621621622
Alexis Valdivia,3,1,53,12,1724,4.351351351351352
Alexis Vidal,0,0,0,0,1008,2.0405405405405403
Ali Abdelaziz,4,1,17,4,2589,3.7075757575757575
Ali Al-Buraikan,3,4,41,4,2583,5.401923076923077
Ali Al-Ghannam,0,1,12,1,1754,3.7096153846153848
Ali Al-Timimi,0,3,18,2,1413,3.6219512195121952
Ali Ali,3,7,44,8,2598,4.5227272727272725
Ali Dhaou,10,3,70,18,2239,4.776595744680851
Ali Dhaouadi,0,0,7,0,1457,2.627659574468085
Ali Hussein,3,1,40,8,1672,3.7878048780487807
Ali Melki,3,0,10,3,1637,3.259574468085106
Ali Mohanad,0,2,9,0,1657,3.68780487804878
Ali Talbi,0,0,0,0,1419,2.5319148936170213
Alireza Hosseini,0,0,0,0,839,1.6947368421052633
Alireza Nourollahi,9,5,57,15,1416,4.8
Alireza Rezaeian,1,0,10,1,1374,3.8289473684210527
Alireza Shojaei,0,2,20,1,1797,4.265789473684211
Alisson Oliveira,1,1,7,1,1882,3.5599999999999996
Alisson Reis,3,2,15,3,1910,3.8244444444444445
Alistair Eustaquio,5,3,61,12,2212,4.75
Alistair Fraser,0,2,12,0,1822,3.497916666666667
Alistair Piette,2,5,7,2,1722,3.470833333333333
Almoez Al-Attiyah,6,10,42,8,3121,4.718181818181818
Almoez Al-Mohannadi,9,3,50,14,2600,3.522727272727273
Almoez Boudiaf,0,0,0,0,1717,2.289393939393939
Almoez Muntari,1,1,12,1,2176,3.4242424242424243
Alphonso David,0,0,0,0,964,1.8916666666666666
Alphonso Johnston,2,0,9,2,1355,3.3020833333333335
Alphonso Piette,7,1,63,16,1753,3.6833333333333336
Alphonso Wotherspoon,2,2,34,4,2040,4.1625000000000005
Alvaro Gavi,8,5,41,12,1488,3.4466666666666663
Alvaro Llorente,2,6,13,3,1450,3.704444444444444
Alvaro Oyarzabal,0,1,10,0,1484,3.7
Alvas Holness,0,0,9,1,1915,3.2711864406779663
Amir Adnan,4,4,48,12,1728,3.9317073170731707
Amir Majeed,4,3,19,4,1704,4.995121951219512
Amir Younis,0,1,9,0,1599,3.887804878048781
Amr Afsha,0,2,12,0,1394,3.4288888888888893
Amr Marmoush,1,0,13,1,1446,2.7755555555555556
Andre Anguissa,0,0,0,0,1007,1.8590909090909091
Andre Antonio,8,3,50,16,2181,3.6677966101694914
Andre Bassogog,13,4,55,19,1634,4.0249999999999995
Andre Johnson,3,0,15,3,2162,3.8135593220338984
Andre Kudus,0,0,6,0,1586,4.222222222222222
Andre Kunde,4,0,23,5,1818,4.4386363636363635
Andre Nkoulou,2,2,7,2,1851,4.175
Andre Osabutey,5,5,35,9,1744,4.897777777777778
Andre Partey,5,5,41,9,1598,3.5488888888888885
Andre Ricketts,4,6,28,4,2043,3.6338983050847458
Andreas Hojbjerg,9,5,53,17,1963,4.488372093023256
Andreas Lindstrom,0,1,10,0,1806,3.974418604651163
Andreas Vestergaard,0,1,4,0,1186,3.0674418604651166
Andrej Bajkovic,6,8,33,9,1855,4.075510204081633
Andrej Sutalo,1,0,16,1,1327,2.9918367346938775
Andrew Adams,1,1,10,1,1994,4.9163265306122454
Andrew Ferguson,5,6,43,8,1936,4.716326530612244
Andrew Jack,12,7,52,17,1973,3.989795918367347
Andrew McTominay,0,1,0,0,1322,2.1999999999999997
Andrija Gudelj,0,1,6,0,1305,3.05
Andriy Bolbat,2,1,26,4,1458,4.128947368421053
Andriy Bushchan,4,5,16,4,1727,4.673684210526315
Andriy Dovbyk,0,0,7,0,1313,3.681578947368421
Andriy Zinchenko,0,0,0,0,1319,2.6868421052631577
André Advincula,7,2,53,16,1945,4.002083333333333
André Gonzalez,3,0,15,4,1451,2.6458333333333335
André Yotun,1,2,20,2,2289,4.966666666666667
Angel Caicedo,10,7,30,11,1764,3.5446808510638297
Angel Di Maria,4,3,32,7,1420,3.911764705882353
Angel Garay,1,4,21,2,1215,4.035294117647059
Angel Gonzalez,0,3,4,0,1076,3.282352941176471
Angel Intriago,2,0,11,2,1737,3.8574468085106384
Angel Plata,0,3,7,0,1820,3.6617021276595745
Anibal Barcenas,0,2,7,0,1513,3.357446808510638
Anibal Perez,5,7,35,9,1674,4.291489361702128
Anibal Rodriguez,0,0,0,0,1131,2.074468085106383
Anibal Sanchez,10,12,84,21,1697,4.31063829787234
Ansu Alba,1,2,7,1,2013,4.717777777777778
Ansu Fati,5,6,41,9,2098,4.2
Ansu Le Normand,3,4,16,3,1480,3.348888888888889
Ante Budimir,0,1,15,0,2346,5.130612244897959
Antoine Kounde,0,2,7,0,1298,4.270588235294118
Antoine Mukiele,2,2,20,5,975,2.9647058823529413
Antoine Saliba,0,7,7,0,1034,3.4794117647058824
Antoine Tchouameni,0,0,0,0,830,1.961764705882353
Antonee Adams,3,3,23,4,1444,3.6789473684210527
Antonee Carter-Vickers,1,0,7,2,1359,3.2605263157894737
Antonee Horvath,2,2,18,4,1252,4.1684210526315795
Antonio Fulle,0,2,4,0,841,2.485294117647059
Antonio Gnabry,2,0,4,2,885,3.3000000000000003
Antonio Havertz,1,0,31,2,1303,3.8794117647058823
Ao Mori,1,1,6,1,1097,3.125
Ao Shiotani,0,0,8,1,1051,3.086111111111111
Arkadiusz Dawidowicz,0,2,4,0,1201,3.551282051282051
Arkadiusz Puchacz,1,0,8,2,1300,3.430769230769231
Arkadiusz Zielinski,5,3,29,8,1653,4.023076923076923
Armando Cooper,9,5,36,14,2179,4.242553191489362
Armando Cummings,0,1,12,1,1852,3.7702127659574467
Armando Torres,2,2,14,3,1927,3.9468085106382977
Artem Bolbat,2,7,12,2,1362,3.6263157894736846
Artem Lunin,0,0,6,0,1407,3.4473684210526314
Artem Tsygankov,3,2,29,6,1567,3.6868421052631577
Arturo Aranguiz,0,0,6,0,1152,3.010810810810811
Arturo Brereton,0,1,0,0,1068,2.418918918918919
Arturo Fuentes,3,7,25,5,1849,4.302702702702702
Arturo Riquelme,1,2,23,3,1251,3.324324324324324
Aurelien Griezmann,3,3,19,4,1307,3.7941176470588234
Aurelien Rabiot,1,1,5,1,1173,3.461764705882353
Aurelien Thuram,0,2,13,2,1086,3.126470588235294
Awer Tilio,0,2,6,0,1509,3.6702127659574466
Awer Vukovic,3,6,19,5,1703,3.831914893617021
Axel Bakayoko,0,1,12,1,1809,3.3274509803921566
Axel Lammens,1,3,32,5,1899,3.9725490196078432
Ayase Kubo,3,6,34,9,1737,4.941666666666666
Ayase Suzuki,0,1,9,0,1606,4.105555555555556
Aymen Adnan,0,0,0,0,851,1.8097560975609757
Aymen Al-Khafaji,2,2,63,16,1680,4.541463414634146
Aymen Attwan,0,0,7,0,1838,4.275609756097562
Aymen Kasid,1,3,19,1,1058,3.2658536585365856
Aymeric Yamal,0,1,7,0,1358,3.017777777777778
Azizbek Sattorov,2,5,26,4,2010,4.363636363636363
Azizbek Yusupov,2,1,9,2,1343,3.402272727272727
Azzedine Riad,0,1,12,0,2255,4.010909090909091
Ben Castillo,1,0,11,2,1630,4.443243243243243
Ben Sierralta,0,3,8,0,1240,3.4810810810810815
Ben Vidal,5,4,37,9,1540,3.951351351351351
Bernardo Conceicao,0,1,13,2,1606,3.262790697674419
Bernardo Felix,0,1,0,0,1180,2.032558139534884
Bernardo Pepe,12,1,49,20,1642,4.2627906976744185
Bernardo Santos,2,0,7,2,1497,3.544186046511628
Bobby Hector,0,0,0,0,892,1.4491525423728813
Bobby Lambert,2,6,20,2,2345,3.7457627118644066
Bobby Lawrence,2,0,7,2,2197,3.957627118644068
Bobby Rodrigues,4,0,21,4,1744,3.1084745762711865
Bobir Eshmurodov,2,0,8,2,1701,3.8659090909090907
Bobir Rashidov,1,3,28,4,2106,4.088636363636364
Boualem Ali,10,4,65,16,2418,3.7909090909090906
Boualem Hasan,1,1,13,1,2276,3.3060606060606057
Boualem Moez,3,10,42,8,3038,4.292424242424243
Boulaye Diouf,1,0,11,2,1498,3.6789473684210527
Boulaye Mendy,8,1,28,10,1094,3.3000000000000003
Boulaye Niang,2,3,6,2,1273,4.186842105263158
Brenden McKennie,1,10,12,2,1375,3.3000000000000003
Brenden Pepi,0,0,7,0,1369,3.6131578947368426
Bruno Cancelo,0,1,13,1,2045,3.9906976744186045
Bruno Leao,0,0,0,0,991,2.025581395348837
Bruno Lima,0,0,6,0,1473,4.311111111111111
Bruno Taremi,3,2,32,6,1520,3.627906976744186
Bruno Vitinha,2,2,11,2,1650,3.7418604651162792
Bryan Duarte,0,1,0,0,509,0.8826086956521739
Bryan Leiton,2,4,27,4,1501,3.9
Bryan Matarrita,0,2,15,1,1522,3.2913043478260873
Bryan Vargas,3,4,46,10,1745,3.867391304347826
Bukayo Alexander-Arnold,1,3,11,1,1763,3.661363636363636
Bukayo Bellingham,6,3,30,9,1669,3.6113636363636363
Bukayo Ramsdale,2,4,29,4,2069,4.7318181818181815
Burak Cengiz,2,5,15,2,2254,4.09
Burak Soyuncu,5,4,78,19,2244,4.224
Burak Tufan,1,0,10,2,1799,3.438
Caglar Abdul,0,6,16,1,1903,3.988
Caglar Guler,1,4,16,1,1875,4.002
Caglar Under,10,7,43,16,2317,4.1080000000000005
Callum Christie,1,1,9,1,1456,3.579591836734694
Callum McTominay,7,4,25,8,1827,4.169387755102041
Calvin Ejuke,3,4,26,5,1645,4.0424999999999995
Calvin Okafor,5,1,38,9,1340,3.4575000000000005
Calvin Sanusi,0,1,4,0,1166,2.98
Casemiro Alexandre,1,1,8,1,1766,4.486666666666666
Casemiro Carvalho,0,1,14,0,1461,2.868888888888889
Casemiro Martins,8,3,48,13,1482,3.46
Celso Campbell,12,3,58,19,1570,3.5630434782608695
Celso Tejeda,1,1,8,1,1661,3.756521739130435
Celso Zuniga,0,4,18,0,1541,3.4347826086956523
Cengiz Gonul,9,2,40,16,1757,3.418
Cengiz Kahveci,1,0,14,2,2114,3.412
Cengiz Muldur,2,1,13,2,1598,2.742
Cengiz Soyuncu,0,0,0,0,1567,2.648
Cesar Rodriguez,8,10,35,9,2371,4.753191489361702
Cesar Rojas,0,2,8,0,1656,3.697872340425532
Christian Cueva,4,6,52,13,1772,4.077083333333333
Christian Hojbjerg,0,0,0,0,1302,2.4
Christian Horvath,4,2,26,6,1226,3.2157894736842105
Christian Maehle,2,4,18,2,1745,3.8232558139534887
Christian McKennie,0,0,0,0,919,1.8052631578947367
Christian Robinson,1,0,9,1,1634,4.042105263157895
Christian Sargent,1,2,19,2,1525,4.45
Christian Skov,6,3,53,13,1703,4.034883720930233
Christian Urruti,5,8,31,6,2370,4.929166666666666
Christian Valera,0,1,11,1,1492,3.314583333333333
Christian Wass,3,1,7,4,1376,3.309302325581396
Ciro Colpani,4,5,45,9,1821,4.205660377358491
Ciro Immobile,1,3,28,3,1435,3.0679245283018868
Ciro Spinazzola,0,1,11,0,2177,3.9981132075471697
Claudio Pavez,1,2,7,1,1249,3.224324324324324
Cody Blind,0,1,0,0,1426,2.0
Cody Dumfries,2,0,15,2,2567,4.687037037037037
Cody Lang,10,6,83,21,2360,4.694444444444445
Cody de Jong,2,7,39,6,2136,3.968518518518519
Craig Borges,1,0,9,1,2414,4.474468085106383
Craig Mooy,2,3,16,2,2081,4.62127659574468
Cristiano Eustaquio,8,7,31,12,1519,3.813953488372093
Cristiano Fernandes,0,0,0,0,1039,1.8325581395348836
Cristiano Jota,0,0,9,0,1972,4.241860465116279
Cristiano Palhinha,2,5,17,2,1283,3.1023255813953488
Cyle Borjan,0,1,17,0,1983,3.9499999999999997
Cyle Buchanan,0,0,0,0,1554,2.5229166666666667
Cyle James,4,1,28,7,1799,3.3562499999999997
Cyle Waterman,1,1,16,2,1237,3.0395833333333333
Daichi Asano,3,3,11,3,1275,3.4944444444444445
Daichi Doan,0,0,7,1,1188,3.5999999999999996
Daichi Hashioka,9,1,59,17,1855,5.511111111111111
Daichi Kubo,0,0,0,0,755,1.6638888888888888
Daley Berghuis,0,2,11,0,1909,3.4018518518518515
Daley Frimpong,5,6,48,9,2278,4.777777777777778
Daley Gakpo,5,5,63,18,1840,3.411111111111111
Damion Bishop,2,9,34,5,2375,4.257627118644067
Damion Gray,11,6,68,22,2187,3.710169491525424
Damion Marshall,2,2,18,3,2313,4.027118644067796
Dani Garcia,1,0,7,1,1586,3.5733333333333337
Dani Gavi,4,9,23,4,1693,3.9844444444444447
Daniel Lens,0,2,17,0,1678,3.6577777777777776
Daniel Partey,5,6,34,8,1890,5.246666666666666
David Laimer,0,1,7,1,1451,3.8151515151515154
David Lucumi,1,3,9,1,1915,3.9347826086956523
David Muhl,5,4,35,10,1574,4.754545454545455
David Sabitzer,0,1,0,0,661,1.7757575757575759
David Ulmer,6,3,27,8,1351,4.757575757575758
Davinson Borja,0,0,4,0,1365,3.2695652173913046
Davinson Mina,7,3,57,14,1532,3.845652173913044
Davinson Villa,5,4,25,6,2131,4.52391304347826
Declan Saka,10,1,41,16,1441,3.35
Declan Trippier,1,3,19,1,2125,5.538636363636363
Declan Watkins,5,2,17,5,1662,3.6181818181818177
Dejan Augustinsson,0,1,13,1,1638,3.9749999999999996
Dejan Gustafson,2,1,16,4,1332,3.0277777777777777
Dejan Isak,0,1,0,0,880,1.9055555555555554
Dejan Wahlqvist,6,0,20,6,1152,2.9055555555555554
Denzel Malen,0,2,8,0,1366,2.92037037037037
Denzel Zerrouki,2,2,12,2,1976,3.1185185185185187
Diego Cavani,4,2,14,4,1486,3.3311111111111114
Diego Lainez,6,2,45,13,1644,4.2
Diego Molina,0,1,14,1,1661,3.4468085106382977
Diego Pacho,0,2,8,0,1540,3.8085106382978724
Diego Romo,3,7,27,4,1639,3.755
Diego Vega,1,1,7,2,1382,3.6450000000000005
Diego Vina,1,1,12,2,1780,3.924444444444444
Diogo Eustaquio,0,3,11,0,1561,3.274418604651163
Diogo Leao,7,5,46,13,1528,4.153488372093023
Diogo Semedo,0,1,8,1,1448,3.4651162790697674
Dmytro Kovalenko,1,2,7,1,1003,2.736842105263158
Dmytro Zinchenko,1,2,19,1,1357,3.460526315789474
Dominik Juranovic,0,6,13,0,1884,4.108163265306123
Dominik Kljulanovic,1,4,21,1,1667,3.520408163265306
Dominik Kramaric,15,9,79,22,2006,5.016326530612245
Dostonbek Abdurakhmanov,0,2,11,0,1648,3.6454545454545455
Dostonbek Kenjayev,1,5,14,1,1666,3.5727272727272723
Dostonbek Kobilov,5,2,37,8,1951,4.288636363636363
Dusan Gudelj,1,1,13,1,1959,3.9285714285714284
Dusan Jevtovic,8,2,28,9,1851,4.1761904761904765
Dusan Milinkovic-Savic,3,3,30,7,1556,4.1
Dusan Mitrovic,0,0,0,0,924,1.6904761904761905
Dusan Radonjic,1,0,18,2,1780,3.723809523809524
Dusan Terzic,2,3,17,4,1798,4.657142857142857
Dusan Zivkovic,1,1,14,1,1544,3.7857142857142856
Duvan Cuadrado,0,0,0,0,987,1.815217391304348
Duvan Lerma,0,1,11,0,1604,3.6717391304347826
Duvan Rios,6,1,40,12,1746,3.691304347826087
Duvan Tesillo,2,1,13,2,1849,3.5152173913043474
Dylan Hamdi,2,1,20,2,2188,4.623404255319149
Dylan Msakni,2,2,17,3,1989,3.719148936170213
Eden Castagne,1,3,10,1,1395,2.782352941176471
Eden De Ketelaere,7,2,24,8,2060,3.8862745098039215
Eden Dendoncker,0,1,0,0,1459,2.2098039215686276
Eden Lammens,3,5,31,4,1786,2.876470588235294
Edinson Gimenez,0,0,0,0,934,1.5355555555555553
Edinson Nandez,0,1,12,0,1988,4.793333333333334
Edinson Torres,7,1,47,14,1636,3.6044444444444443
Edinson Ugarte,2,2,16,3,1748,3.697777777777778
Edouard Cisse,2,0,9,3,1506,4.1078947368421055
Edouard Koulibaly,3,2,26,5,1285,3.573684210526316
Edouard Ndiaye,5,6,23,7,2051,4.821052631578947
Edson Layun,1,0,5,1,1304,3.3924999999999996
Edson Lozano,9,5,54,18,1652,4.1725
Edson Martinez,3,2,11,3,1466,3.025
Eduardo Olise,2,1,10,2,1266,3.9558823529411766
Eduardo Sissoko,0,1,13,1,1449,3.979411764705883
Eduardo Tchouameni,4,4,13,4,1062,3.0176470588235293
Ehsan Gholizadeh,0,0,5,0,1473,3.8210526315789473
Ehsan Hosseini,9,4,46,12,1550,4.518421052631578
Ehsan Moradi,1,4,11,2,1236,3.236842105263158
Eldor Hamrobekov,0,1,9,0,1273,2.756818181818182
Eldor Kenjayev,4,1,40,9,1399,3.590909090909091
Eldor Miralimov,4,4,38,6,2246,5.015909090909091
Eldor Rashidov,0,0,0,0,1203,2.256818181818182
Ellyes Msaad,3,3,13,3,1629,3.7085106382978728
Ellyes Msakni,7,3,48,11,2143,4.353191489361702
Ellyes Sliti,3,0,7,3,1717,3.663829787234042
Emil Berg,0,0,4,0,1491,4.183333333333334
Emil Garcia,5,3,17,6,1246,3.797222222222222
Emil Ljungberg,6,9,63,15,1523,5.072222222222222
Emil Olsson,0,0,0,0,784,1.5611111111111111
Emiliano Acuna,1,7,12,1,1482,4.25
Emiliano Balerdi,6,0,22,7,1065,3.6941176470588233
Emiliano Di Maria,0,1,0,0,900,2.1294117647058823
Emiliano Mac Allister,3,1,16,3,1719,4.673529411764706
Enes Celik,1,1,9,1,1613,3.6260000000000003
Enes Gonul,3,4,33,5,1590,3.7239999999999998
Enes Turan,5,3,50,14,1937,4.5280000000000005
Enner Caicedo,0,1,0,0,1220,2.121276595744681
Enner Hincapie,2,1,15,2,2038,4.4
Enner Ibarra,0,2,10,0,1356,3.040425531914894
Enner Zapata,4,1,40,7,1675,3.5319148936170213
Eric Aboubakar,0,1,0,0,1344,2.252272727272727
Eric Aguilar,1,0,16,1,1726,3.851063829787234
Eric Mba,14,7,105,30,2215,5.379545454545454
Eric Ndip,2,3,16,3,1554,3.3931818181818185
Eric Ortiz,6,3,15,8,2067,3.8957446808510636
Eric Rodriguez,15,5,71,20,2014,4.776595744680851
Eric Zambo,0,0,11,0,1831,3.977272727272727
Erick Brereton,2,3,35,4,1845,5.0729729729729724
Erick Mena,0,0,11,1,1267,3.348648648648649
Erick Valdivia,1,3,17,2,1311,3.5783783783783787
Evidence Zungu,0,1,9,0,1463,3.9714285714285715
Fabian Ndoye,1,0,9,1,1617,4.485714285714286
Fabian Pfannenstiel,4,3,16,4,1685,4.171428571428572
Federico Bentancur,0,0,0,0,1719,3.2311111111111113
Federico Berardi,2,4,43,7,1982,4.367924528301887
Federico Caceres,4,3,24,4,1656,4.237777777777778
Federico Coates,1,0,14,2,1707,3.86
Federico Colpani,12,8,69,22,2037,4.041509433962264
Federico Pellegrini,0,4,11,0,2099,3.9301886792452834
Federico Tonali,0,0,0,0,923,1.3471698113207549
Federico Trezeguet,10,3,58,19,1554,3.9533333333333336
Felix Caicedo,2,3,21,2,1778,3.7829787234042556
Felix Rodriguez,0,0,12,0,1979,4.108510638297872
Ferland Seck,2,2,20,2,1618,3.586842105263158
Ferland Sow,2,1,5,2,1502,3.392105263157895
Ferran Cubarsi,2,2,27,3,1680,3.882222222222222
Ferran Morata,7,3,56,11,1874,4.206666666666667
Ferran Pau,0,0,16,1,1759,3.6799999999999997
Filip Daka,0,0,7,1,952,2.7472222222222222
Filip Grujic,5,7,34,11,1227,3.2833333333333337
Filip Maksimovic,4,4,27,7,1693,4.0095238095238095
Filip Milinkovic-Savic,0,0,0,0,1062,2.026190476190476
Filip Pavlovic,2,1,4,2,1724,3.55
Firas Al-Amri,1,2,15,2,2191,3.994230769230769
Firas Al-Salem,6,0,45,12,1546,3.0076923076923077
Firas Al-Shahrani,0,0,0,0,1258,1.8115384615384615
Firas Al-Yami,4,4,27,5,1786,3.8288461538461536
Florian Brandt,1,1,9,1,1551,4.511764705882353
Florian Kick,1,2,28,3,1390,3.9909090909090907
Florian Musiala,2,2,25,5,1323,3.8029411764705885
Florian Waldschmidt,0,1,2,0,1241,4.296969696969697
Francisco Aguilar,0,5,31,2,1527,3.5521739130434784
Francisco Borges,7,4,23,8,1694,3.776086956521739
Francisco Wallace,0,3,8,0,1806,3.8434782608695657
Frenkie Ake,3,6,39,5,2226,4.812962962962962
Frenkie Gakpo,0,3,0,0,1342,2.327777777777778
Frenkie Wijndal,8,6,66,16,1731,3.9166666666666665
Frenkie de Ligt,0,1,6,0,1866,3.3629629629629627
Gabriel Alisson,0,0,10,0,1476,3.5622222222222226
Gabriel Junior,8,2,26,10,1556,3.6355555555555554
Gabriel Souza,1,2,22,2,1715,3.7844444444444445
Gary Delgado,1,1,38,6,1109,3.0216216216216214
Gary Diaz,1,0,8,2,1363,3.7
Gary Isla,0,0,0,0,726,1.5297297297297299
Gary Villanueva,3,9,27,3,1425,4.832432432432433
Gavi Asensio,2,1,14,2,1891,3.6599999999999997
Gavi Le Normand,4,4,61,17,1713,4.171111111111111
Gavi Morata,0,1,0,0,1290,2.191111111111111
Gavi Ramos,1,7,38,4,1838,4.431111111111111
Gianluca Advincula,0,1,0,0,1486,2.345833333333333
Gianluca Peña,4,7,42,8,1759,3.966666666666667
Gianluca Tapia,0,0,8,0,1686,2.93125
Gianluca Urruti,6,5,39,8,1751,3.4104166666666664
Gianluigi Calafiori,13,8,79,20,1928,3.9132075471698116
Gianluigi Chiesa,0,0,0,0,1064,1.6018867924528304
Gianluigi Di Lorenzo,4,4,27,6,1904,3.2622641509433965
Gianluigi Verratti,0,1,12,1,1792,3.2226415094339624
Giovanni Hoppe,9,4,46,14,1944,4.760526315789474
Giovanni Musah,0,1,6,0,1526,4.078947368421052
Giovanni Tillman,2,10,36,9,2097,5.5394736842105265
Giovanni Weah,0,0,0,0,951,1.9236842105263157
Gonzalo Mena,9,5,40,11,1987,4.131914893617021
Gonzalo Ramirez,1,0,10,1,1682,3.8808510638297875
Gonzalo Zapata,0,2,8,0,1383,3.1765957446808515
Graeme Doak,0,1,8,0,1785,3.6918367346938776
Graeme Jack,0,2,14,0,1340,2.877551020408163
Graeme McGregor,2,3,26,3,1619,3.1918367346938776
Granit Kobal,6,4,69,20,1400,4.328571428571428
Granit Rodriguez,0,2,5,0,1119,3.3714285714285714
Granit Shaqiri,0,0,0,0,1013,2.3200000000000003
Granit Zakaria,0,1,9,0,1271,4.0685714285714285
Grzegorz Glik,4,3,43,12,1370,4.071794871794872
Grzegorz Piatek,2,1,10,2,1252,3.420512820512821
Grzegorz Skoras,0,2,17,1,1743,4.305128205128205
Guillermo Almada,1,0,7,1,1418,4.01
Guillermo Torres,2,5,17,2,1388,3.2475
Hakan Cengiz,5,3,37,7,2111,4.2
Hakan Ucar,2,2,29,6,1759,3.5639999999999996
Hakan Under,0,0,0,0,641,0.9620000000000001
Hakan Yilmaz,0,1,9,1,1280,2.748
Hakim Aguerd,1,1,23,2,1776,3.4927272727272727
Hakim Ezzalzouli,1,4,8,1,1899,4.125454545454546
Hakim Ziyech,10,3,83,29,1917,4.087272727272728
Hannibal Krid,2,4,13,3,1313,3.2276595744680847
Hannibal Mathlouthi,1,0,8,1,1551,3.317021276595745
Hannibal Talbi,6,2,26,8,1822,3.3595744680851065
Haris Steiner,0,0,6,0,1478,4.054285714285714
Harold Brown,2,5,30,3,2020,4.276595744680851
Harold Valenzuela,0,0,11,0,1904,3.825531914893617
Harry Bellingham,0,0,0,0,1626,3.2818181818181817
Harry King,1,5,22,3,1470,2.904255319148936
Harry Leckie,1,0,7,1,1624,4.278723404255319
Harry Mooy,7,2,66,15,1927,4.108510638297872
Harry Phillips,0,2,10,0,1019,2.743181818181818
Harry Rice,1,1,9,2,1766,3.6159090909090907
Harry Watkins,5,1,38,7,2050,4.572727272727272
Hassan Abdulla,0,0,0,0,1761,2.165151515151515
Hassan Al-Nobi,2,8,42,3,2629,3.9499999999999997
Hassan Al-Qahtani,4,4,26,5,2031,4.413461538461538
Hassan Al-Zahrani,1,0,7,1,1766,3.9403846153846156
Hassan Mahmoud,5,3,31,7,1844,2.974242424242424
Hassan Pedro,1,1,13,1,2324,3.609090909090909
Hector Vasquez,0,0,5,0,1407,3.6475
Hee-chan Choi,4,3,33,7,1304,3.8882352941176466
Hee-chan Hwang,0,1,5,0,1951,2.4823529411764707
Hee-chan Kwon,0,2,6,0,1181,3.623529411764706
Hidajat Ghoddos,5,8,58,12,1634,4.5
Hidajat Hazbavi,3,8,28,5,1472,4.563157894736842
